date,author,likes,score,content
2019/2/15 15:08,一遇韩非误终身,0,10,特别感动的一个节目
2019/2/15 14:21,寒风酒梦,0,10,非常棒
2019/2/15 12:55,小小小昂,0,10,真的可以说这个节目比春晚有趣了
2019/2/15 11:10,墨圖歌,0,10,不能半星所以直接五星了。节目意义深长，通过讲述前世今生的故事，了解我国的文物及其背后的历史与文化内涵，再贯通古今从历史看未来，符合中国当今的社会主义文化建设。不喜欢有争议的明星，半星扣这里，但可以理解
2019/2/15 6:52,深海酱今天也在学习吗,0,10,自己国家的历史不能被遗忘！
2019/2/15 4:49,屮上官灬熠訁,0,10,这是一个历史 音乐 文学 舞蹈于一身的大型综艺节目。能让人们感受了解古代的那些事，赞叹古人的智慧非常好??(??ω???)?亲自去博物馆了解的话，这只是冰山一角
2019/2/15 4:34,水哀蛋蛋,0,10,在上阳台帖和样式雷烫样中无法做选择啊，最后国家宝藏选了样式雷也在意料之中啊，期待第三季
2019/2/15 4:11,玉玉玉玉米,0,10,从第一季到第二季，一直都很喜欢《国家宝藏》，让国宝活起来，让我们更了解民族之精髓，让我们愿意走进博物馆，一览文物之风韵。第三季再见。
2019/2/14 15:54,卡门女士的小娇妻,0,10,感动爆哭！节目疯狂暗示湾湾这么多次了，所以湾湾什么时候回来？
2019/2/14 15:00,唯橙吱吱,0,10,中华上下五千年！
2019/2/14 14:48,此处已无风,0,10,翟天临是我最喜欢的李白扮演者。
2019/2/14 14:15,苏子故,0,10,太棒啦 期待第三季
2019/2/14 14:00,听海扰鹳,0,10,很有文化与时代交融的特色。我喜欢每件文物，更喜欢他们背后的故事。有机会一定常去博物馆。
2019/2/14 13:20,小菊灬Oo,0,10,好看啊！！！！！
2019/2/14 13:00,傻儿的爹,0,10,真的很棒。认识到了许多的国宝，领略到了中国的文化之美。文案也一直在线
2019/2/14 12:22,主旋律青年,0,8,神仙节目！希望第三季能继续有让人眼前一亮的新元素！
2019/2/14 12:01,叶子清清,0,10,啊啊啊啊啊教练，我要学琴棋书画，我要学四书五经，我要学唐诗宋词。。。
2019/2/14 10:41,蛋胥胥,0,10,好看
2019/2/14 6:29,依一ww,0,10,太棒了吧！！！！
2019/2/14 5:42,Margo_L,0,8,太振奋了
